id,label,comment,original_epc_datatype,csvw_datatype
original_epc_datatype,original_epc_datatype,"The datatype of a EPC variable, as given in the EPC guidance notes.",
csvw_datatype,csvw_datatype,The CSVW datatype of a epc_vocab Property.,
LMK_KEY,LMK_KEY,Individual lodgement identifier. Guaranteed to be unique and can be used to identify a certificate in the downloads and the API.,VARCHAR 64,string
ADDRESS1,ADDRESS1,First line of the address,VARCHAR 84,string
ADDRESS2,ADDRESS2,Second line of the address,VARCHAR 100,string
ADDRESS3,ADDRESS3,Third line of the address,VARCHAR 100,string
POSTCODE,POSTCODE,The postcode of the property,VARCHAR 8,string
BUILDING_REFERENCE_NUMBER,BUILDING_REFERENCE_NUMBER,Unique identifier for the property.,VARCHAR 12,string
CURRENT_ENERGY_RATING,CURRENT_ENERGY_RATING,Current energy rating converted into a linear 'A to G' rating (where A is the most energy efficient and G is the least energy efficient),VARCHAR 8,string
POTENTIAL_ENERGY_RATING,POTENTIAL_ENERGY_RATING,Estimated potential energy rating converted into a linear 'A to G' rating (where A is the most energy efficient and G is the least energy efficient),VARCHAR 8,string
CURRENT_ENERGY_EFFICIENCY,CURRENT_ENERGY_EFFICIENCY,"Based on cost of energy, i.e. energy required for space heating, water heating and lighting [in kWh/year] multiplied by fuel costs. (£/m²/year where cost is derived from kWh).",INT,integer
POTENTIAL_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,The potential energy efficiency rating of the property.,INT,integer
PROPERTY_TYPE,PROPERTY_TYPE,"Describes the type of property such as House, Flat, Maisonette etc. This is the type differentiator for dwellings.",VARCHAR 10,string
BUILT_FORM,BUILT_FORM,"The building type of the Property e.g. Detached, Semi-Detached, Terrace etc. Together with the Property Type, the Build Form produces a structured description of the property",VARCHAR 20,string
INSPECTION_DATE,INSPECTION_DATE,The date that the inspection was actually carried out by the energy assessor,DATE,date
LOCAL_AUTHORITY,LOCAL_AUTHORITY,Office for National Statistics (ONS) code. Local authority area in which the building is located.,VARCHAR 9,string
CONSTITUENCY,CONSTITUENCY,Office for National Statistics (ONS) code. Parliamentary constituency in which the building is located.,VARCHAR 9,string
COUNTY,COUNTY,County in which the building is located (where applicable),VARCHAR 24,string
LODGEMENT_DATE,LODGEMENT_DATE,Date lodged on the Energy Performance of Buildings Register,DATE,date
